Population Year	 Area	 Variable	 Data
2007	Ouray	Net Building Permits	65
2007	Ouray	Net Migration	126
2007	Ouray	Population (U.S. Census Bureau)	4400
2007	Ouray	Total Households	1898
2007	Ouray	Total Housing Units	2958
2007	Ouray	Vacant Housing Units	1060
2007	Park	Average Household Size	2.3
2007	Park	Births	150
2007	Park	Deaths	71
2007	Park	Group Quarters Population (July)	70
2007	Park	Household Population (July)	16266
2007	Park	Housing Vacancy Rate	47.32
2007	Park	July Population	16336
2007	Park	Natural Population Increase	79
2007	Park	Net Building Permits	306
2007	Park	Net Migration	129
2007	Park	Population (U.S. Census Bureau)	16964
2007	Park	Total Households	7065
2007	Park	Total Housing Units	13412
2007	Park	Vacant Housing Units	6347
2007	Phillips	Average Household Size	2.43
2007	Phillips	Births	72
2007	Phillips	Deaths	37
2007	Phillips	Group Quarters Population (July)	89
2007	Phillips	Household Population (July)	4395
2007	Phillips	Housing Vacancy Rate	12.59
2007	Phillips	July Population	4484
2007	Phillips	Natural Population Increase	35
2007	Phillips	Net Building Permits	8
2007	Phillips	Net Migration	-55
2007	Phillips	Population (U.S. Census Bureau)	4469
2007	Phillips	Total Households	1812
2007	Phillips	Total Housing Units	2073
2007	Phillips	Vacant Housing Units	261
2007	Pitkin	Average Household Size	2.13
2007	Pitkin	Births	166
2007	Pitkin	Deaths	40
2007	Pitkin	Group Quarters Population (July)	328
2007	Pitkin	Household Population (July)	15908
2007	Pitkin	Housing Vacancy Rate	40.84
2007	Pitkin	July Population	16236
2007	Pitkin	Natural Population Increase	126
2007	Pitkin	Net Building Permits	211
2007	Pitkin	Net Migration	23
2007	Pitkin	Population (U.S. Census Bureau)	15099
2007	Pitkin	Total Households	7485
2007	Pitkin	Total Housing Units	12653
2007	Pitkin	Vacant Housing Units	5168
2007	Prowers	Average Household Size	2.53
2007	Prowers	Births	189
2007	Prowers	Deaths	131
2007	Prowers	Group Quarters Population (July)	300
2007	Prowers	Household Population (July)	12472
2007	Prowers	Housing Vacancy Rate	17.34
2007	Prowers	July Population	12772
2007	Prowers	Natural Population Increase	58
2007	Prowers	Net Building Permits	3
2007	Prowers	Net Migration	-494
2007	Prowers	Population (U.S. Census Bureau)	13006
2007	Prowers	Total Households	4925
2007	Prowers	Total Housing Units	5958
2007	Prowers	Vacant Housing Units	1033
2007	Pueblo	Average Household Size	2.48
2007	Pueblo	Births	2143
2007	Pueblo	Deaths	1509
2007	Pueblo	Group Quarters Population (July)	4202
2007	Pueblo	Household Population (July)	150557
2007	Pueblo	Housing Vacancy Rate	10.69
2007	Pueblo	July Population	154759
2007	Pueblo	Natural Population Increase	634
2007	Pueblo	Net Building Permits	1237
2007	Pueblo	Net Migration	2061
2007	Pueblo	Population (U.S. Census Bureau)	154348
2007	Pueblo	Total Households	60810
2007	Pueblo	Total Housing Units	68087
2007	Pueblo	Vacant Housing Units	7277
2007	Rio Blanco	Average Household Size	2.45
2007	Rio Blanco	Births	100
2007	Rio Blanco	Deaths	52
2007	Rio Blanco	Group Quarters Population (July)	232
2007	Rio Blanco	Household Population (July)	5861
2007	Rio Blanco	Housing Vacancy Rate	24.57
2007	Rio Blanco	July Population	6093
2007	Rio Blanco	Natural Population Increase	48
2007	Rio Blanco	Net Building Permits	47
2007	Rio Blanco	Net Migration	64
2007	Rio Blanco	Population (U.S. Census Bureau)	6198
2007	Rio Blanco	Total Households	2392
2007	Rio Blanco	Total Housing Units	3171
2007	Rio Blanco	Vacant Housing Units	779
2007	Rio Grande	Average Household Size	2.5
2007	Rio Grande	Births	147
2007	Rio Grande	Deaths	138
2007	Rio Grande	Group Quarters Population (July)	251
2007	Rio Grande	Household Population (July)	11916
2007	Rio Grande	Housing Vacancy Rate	27.48
2007	Rio Grande	July Population	12167
2007	Rio Grande	Natural Population Increase	9
2007	Rio Grande	Net Building Permits	60
2007	Rio Grande	Net Migration	-281
2007	Rio Grande	Population (U.S. Census Bureau)	11621
2007	Rio Grande	Total Households	4763
2007	Rio Grande	Total Housing Units	6568
2007	Rio Grande	Vacant Housing Units	1805
2007	Routt	Average Household Size	2.39
2007	Routt	Births	258
2007	Routt	Deaths	88
2007	Routt	Group Quarters Population (July)	337
2007	Routt	Household Population (July)	22078
2007	Routt	Housing Vacancy Rate	37.73
2007	Routt	July Population	22415
2007	Routt	Natural Population Increase	170
2007	Routt	Net Building Permits	405
2007	Routt	Net Migration	359
2007	Routt	Population (U.S. Census Bureau)	22340
2007	Routt	Total Households	9240
2007	Routt	Total Housing Units	14838
2007	Routt	Vacant Housing Units	5598
2007	Saguache	Average Household Size	2.39
2007	Saguache	Births	80
2007	Saguache	Deaths	38
2007	Saguache	Group Quarters Population (July)	36
2007	Saguache	Household Population (July)	6123
2007	Saguache	Housing Vacancy Rate	31.32
2007	Saguache	July Population	6159
2007	Saguache	Natural Population Increase	42
2007	Saguache	Net Building Permits	72
2007	Saguache	Net Migration	-124
2007	Saguache	Population (U.S. Census Bureau)	6864
2007	Saguache	Total Households	2566
2007	Saguache	Total Housing Units	3736
2007	Saguache	Vacant Housing Units	1170
2007	San Juan	Average Household Size	2.03
2007	San Juan	Births	7
2007	San Juan	Deaths	4
2007	San Juan	Group Quarters Population (July)	5
2007	San Juan	Household Population (July)	681
2007	San Juan	Housing Vacancy Rate	54.79
2007	San Juan	July Population	686
2007	San Juan	Natural Population Increase	3
2007	San Juan	Net Building Permits	11
2007	San Juan	Net Migration	11
2007	San Juan	Population (U.S. Census Bureau)	574
2007	San Juan	Total Households	335
2007	San Juan	Total Housing Units	741
2007	San Juan	Vacant Housing Units	406
2007	San Miguel	Average Household Size	2.14
2007	San Miguel	Births	96
2007	San Miguel	Deaths	19
2007	San Miguel	Group Quarters Population (July)	17
2007	San Miguel	Household Population (July)	7259
2007	San Miguel	Housing Vacancy Rate	46.44
2007	San Miguel	July Population	7276
2007	San Miguel	Natural Population Increase	77
2007	San Miguel	Net Building Permits	155
2007	San Miguel	Net Migration	140
2007	San Miguel	Population (U.S. Census Bureau)	7459
2007	San Miguel	Total Households	3397
2007	San Miguel	Total Housing Units	6343
2007	San Miguel	Vacant Housing Units	2946
2007	Sedgwick	Average Household Size	2.19
2007	Sedgwick	Births	14
2007	Sedgwick	Deaths	34
2007	Sedgwick	Group Quarters Population (July)	57
2007	Sedgwick	Household Population (July)	2365
2007	Sedgwick	Housing Vacancy Rate	22.95
2007	Sedgwick	July Population	2422
2007	Sedgwick	Natural Population Increase	-20
2007	Sedgwick	Net Building Permits	1
2007	Sedgwick	Net Migration	-73
2007	Sedgwick	Population (U.S. Census Bureau)	2330
2007	Sedgwick	Total Households	1081
2007	Sedgwick	Total Housing Units	1403
2007	Sedgwick	Vacant Housing Units	322
2007	Summit	Average Household Size	2.43
2007	Summit	Births	345
2007	Summit	Deaths	42
2007	Summit	Group Quarters Population (July)	927
2007	Summit	Household Population (July)	26236
2007	Summit	Housing Vacancy Rate	63.43
2007	Summit	July Population	27163
2007	Summit	Natural Population Increase	303
2007	Summit	Net Building Permits	422
2007	Summit	Net Migration	21
2007	Summit	Population (U.S. Census Bureau)	26234
2007	Summit	Total Households	10801
2007	Summit	Total Housing Units	29536
2007	Summit	Vacant Housing Units	18735
2007	Teller	Average Household Size	2.42
2007	Teller	Births	234
2007	Teller	Deaths	98
2007	Teller	Group Quarters Population (July)	120
2007	Teller	Household Population (July)	23044
2007	Teller	Housing Vacancy Rate	23.54
2007	Teller	July Population	23164
2007	Teller	Natural Population Increase	136
2007	Teller	Net Building Permits	160
2007	Teller	Net Migration	237
2007	Teller	Population (U.S. Census Bureau)	21749
2007	Teller	Total Households	9519
2007	Teller	Total Housing Units	12450
2007	Teller	Vacant Housing Units	2931
2007	Washington	Average Household Size	2.37
2007	Washington	Births	42
2007	Washington	Deaths	38
2007	Washington	Group Quarters Population (July)	222
2007	Washington	Household Population (July)	4705
2007	Washington	Housing Vacancy Rate	17.57
2007	Washington	July Population	4927
2007	Washington	Natural Population Increase	4
2007	Washington	Net Building Permits	9
2007	Washington	Net Migration	-58
2007	Washington	Population (U.S. Census Bureau)	4597
2007	Washington	Total Households	1984
2007	Washington	Total Housing Units	2407
2007	Washington	Vacant Housing Units	423
2007	Weld	Average Household Size	2.77
2007	Weld	Births	4101
2007	Weld	Deaths	1314
2007	Weld	Group Quarters Population (July)	5060
2007	Weld	Household Population (July)	233219
2007	Weld	Housing Vacancy Rate	10.93
2007	Weld	July Population	238279
2007	Weld	Natural Population Increase	2787
2007	Weld	Net Building Permits	2433
2007	Weld	Net Migration	4209
2007	Weld	Population (U.S. Census Bureau)	242250
2007	Weld	Total Households	84195
2007	Weld	Total Housing Units	94523
2007	Weld	Vacant Housing Units	10328
2007	Yuma	Average Household Size	2.51
2007	Yuma	Births	148
2007	Yuma	Deaths	89
2007	Yuma	Group Quarters Population (July)	221
2007	Yuma	Household Population (July)	9660
2007	Yuma	Housing Vacancy Rate	13.19
2007	Yuma	July Population	9881
2007	Yuma	Natural Population Increase	59
2007	Yuma	Net Building Permits	5
2007	Yuma	Net Migration	-95
2007	Yuma	Population (U.S. Census Bureau)	9580
2007	Yuma	Total Households	3850
2007	Yuma	Total Housing Units	4435
2007	Yuma	Vacant Housing Units	585
2006	Adams	Average Household Size	2.83
2006	Adams	Births	7733
2006	Adams	Deaths	2241
2006	Adams	Group Quarters Population (July)	3657
2006	Adams	Household Population (July)	403930
2006	Adams	Housing Vacancy Rate	9.78
2006	Adams	July Population	407587
2006	Adams	Natural Population Increase	5492
2006	Adams	Net Building Permits	4928
2006	Adams	Net Migration	6711
2006	Adams	Population (U.S. Census Bureau)	409532
2006	Adams	Total Households	142496
2006	Adams	Total Housing Units	157948
2006	Adams	Vacant Housing Units	15452
2006	Alamosa	Average Household Size	2.49
2006	Alamosa	Births	227
2006	Alamosa	Deaths	93
2006	Alamosa	Group Quarters Population (July)	995
2006	Alamosa	Household Population (July)	14355
2006	Alamosa	Housing Vacancy Rate	10.22
2006	Alamosa	July Population	15350
2006	Alamosa	Natural Population Increase	134
2006	Alamosa	Net Building Permits	64
2006	Alamosa	Net Migration	-179
2006	Alamosa	Population (U.S. Census Bureau)	15288
2006	Alamosa	Total Households	5761
2006	Alamosa	Total Housing Units	6417
2006	Alamosa	Vacant Housing Units	656
2006	Arapahoe	Average Household Size	2.53
2006	Arapahoe	Births	8036
2006	Arapahoe	Deaths	2934
2006	Arapahoe	Group Quarters Population (July)	5433
2006	Arapahoe	Household Population (July)	530618
2006	Arapahoe	Housing Vacancy Rate	7.24
2006	Arapahoe	July Population	536051
2006	Arapahoe	Natural Population Increase	5102
2006	Arapahoe	Net Building Permits	3162
2006	Arapahoe	Net Migration	2735
2006	Arapahoe	Population (U.S. Census Bureau)	532347
2006	Arapahoe	Total Households	209780
2006	Arapahoe	Total Housing Units	226156
2006	Arapahoe	Vacant Housing Units	16376
2006	Archuleta	Average Household Size	2.34
2006	Archuleta	Births	105
2006	Archuleta	Deaths	62
2006	Archuleta	Group Quarters Population (July)	84
2006	Archuleta	Household Population (July)	11714
2006	Archuleta	Housing Vacancy Rate	38.31
2006	Archuleta	July Population	11798
2006	Archuleta	Natural Population Increase	43
2006	Archuleta	Net Building Permits	247
2006	Archuleta	Net Migration	353
2006	Archuleta	Population (U.S. Census Bureau)	12096
2006	Archuleta	Total Households	4999
2006	Archuleta	Total Housing Units	8104
2006	Archuleta	Vacant Housing Units	3105
2006	Baca	Average Household Size	2.24
2006	Baca	Births	37
2006	Baca	Deaths	62
2006	Baca	Group Quarters Population (July)	85
2006	Baca	Household Population (July)	4003
2006	Baca	Housing Vacancy Rate	22.47
2006	Baca	July Population	4088
2006	Baca	Natural Population Increase	-25
2006	Baca	Net Building Permits	1
2006	Baca	Net Migration	15
2006	Baca	Population (U.S. Census Bureau)	3912
2006	Baca	Total Households	1784
2006	Baca	Total Housing Units	2301
2006	Baca	Vacant Housing Units	517
2006	Bent	Average Household Size	2.41
2006	Bent	Births	60
2006	Bent	Deaths	72
2006	Bent	Group Quarters Population (July)	1553
2006	Bent	Household Population (July)	4523
2006	Bent	Housing Vacancy Rate	18.52
2006	Bent	July Population	6076
2006	Bent	Natural Population Increase	-12
2006	Bent	Net Building Permits	9
2006	Bent	Net Migration	-173
2006	Bent	Population (U.S. Census Bureau)	6070
2006	Bent	Total Households	1874
2006	Bent	Total Housing Units	2300
2006	Bent	Vacant Housing Units	426
2006	Boulder	Average Household Size	2.42
2006	Boulder	Births	3511
2006	Boulder	Deaths	1471
2006	Boulder	Group Quarters Population (July)	9931
2006	Boulder	Household Population (July)	276202
2006	Boulder	Housing Vacancy Rate	8.34
2006	Boulder	July Population	286133
2006	Boulder	Natural Population Increase	2040
2006	Boulder	Net Building Permits	1427
2006	Boulder	Net Migration	1183
2006	Boulder	Population (U.S. Census Bureau)	291449
2006	Boulder	Total Households	113945
2006	Boulder	Total Housing Units	124311
2006	Boulder	Vacant Housing Units	10366
2006	Broomfield	Average Household Size	2.66
2006	Broomfield	Births	676
2006	Broomfield	Deaths	228
2006	Broomfield	Group Quarters Population (July)	7
2006	Broomfield	Household Population (July)	51145
2006	Broomfield	Housing Vacancy Rate	2.56
2006	Broomfield	July Population	51152
2006	Broomfield	Natural Population Increase	448
2006	Broomfield	Net Building Permits	742
2006	Broomfield	Net Migration	2453
2006	Broomfield	Population (U.S. Census Bureau)	51454
2006	Broomfield	Total Households	19223
2006	Broomfield	Total Housing Units	19729
2006	Broomfield	Vacant Housing Units	506
2006	Chaffee	Average Household Size	2.2
2006	Chaffee	Births	142
2006	Chaffee	Deaths	162
2006	Chaffee	Group Quarters Population (July)	1336
2006	Chaffee	Household Population (July)	15648
2006	Chaffee	Housing Vacancy Rate	25.36
2006	Chaffee	July Population	16984
2006	Chaffee	Natural Population Increase	-20
2006	Chaffee	Net Building Permits	151
2006	Chaffee	Net Migration	-18
2006	Chaffee	Population (U.S. Census Bureau)	16626
2006	Chaffee	Total Households	7127
2006	Chaffee	Total Housing Units	9549
2006	Chaffee	Vacant Housing Units	2422
2006	Cheyenne	Average Household Size	2.37
2006	Cheyenne	Births	21
2006	Cheyenne	Deaths	21
2006	Cheyenne	Group Quarters Population (July)	30
2006	Cheyenne	Household Population (July)	1947
2006	Cheyenne	Housing Vacancy Rate	19.79
2006	Cheyenne	July Population	1977
2006	Cheyenne	Natural Population Increase	0
2006	Cheyenne	Net Building Permits	3
2006	Cheyenne	Net Migration	-64
2006	Cheyenne	Population (U.S. Census Bureau)	1833
2006	Cheyenne	Total Households	823
2006	Cheyenne	Total Housing Units	1026
2006	Cheyenne	Vacant Housing Units	203
2006	Clear Creek	Average Household Size	2.21
2006	Clear Creek	Births	121
2006	Clear Creek	Deaths	42
2006	Clear Creek	Group Quarters Population (July)	42
2006	Clear Creek	Household Population (July)	9237
2006	Clear Creek	Housing Vacancy Rate	24.63
2006	Clear Creek	July Population	9279
2006	Clear Creek	Natural Population Increase	79
2006	Clear Creek	Net Building Permits	34
2006	Clear Creek	Net Migration	-192
2006	Clear Creek	Population (U.S. Census Bureau)	8869
2006	Clear Creek	Total Households	4179
2006	Clear Creek	Total Housing Units	5545
2006	Clear Creek	Vacant Housing Units	1366
2006	Conejos	Average Household Size	2.7
2006	Conejos	Births	116
2006	Conejos	Deaths	64
2006	Conejos	Group Quarters Population (July)	53
2006	Conejos	Household Population (July)	8417
2006	Conejos	Housing Vacancy Rate	25.59
2006	Conejos	July Population	8470
2006	Conejos	Natural Population Increase	52
2006	Conejos	Net Building Permits	36
2006	Conejos	Net Migration	-82
2006	Conejos	Population (U.S. Census Bureau)	8083
2006	Conejos	Total Households	3120
2006	Conejos	Total Housing Units	4193
2006	Conejos	Vacant Housing Units	1073
2006	Costilla	Average Household Size	2.34
2006	Costilla	Births	39
2006	Costilla	Deaths	39
2006	Costilla	Group Quarters Population (July)	0
2006	Costilla	Household Population (July)	3698
2006	Costilla	Housing Vacancy Rate	34.75
2006	Costilla	July Population	3698
2006	Costilla	Natural Population Increase	0
2006	Costilla	Net Building Permits	23
2006	Costilla	Net Migration	3
2006	Costilla	Population (U.S. Census Bureau)	3341
2006	Costilla	Total Households	1583
2006	Costilla	Total Housing Units	2426
2006	Costilla	Vacant Housing Units	843
2006	Crowley	Average Household Size	2.48
2006	Crowley	Births	35
2006	Crowley	Deaths	47
2006	Crowley	Group Quarters Population (July)	2580
2006	Crowley	Household Population (July)	3133
2006	Crowley	Housing Vacancy Rate	19.03
2006	Crowley	July Population	5713
2006	Crowley	Natural Population Increase	-12
2006	Crowley	Net Building Permits	5
2006	Crowley	Net Migration	288
2006	Crowley	Population (U.S. Census Bureau)	6242
2006	Crowley	Total Households	1264
2006	Crowley	Total Housing Units	1561
2006	Crowley	Vacant Housing Units	297
2006	Custer	Average Household Size	2.22
2006	Custer	Births	15
2006	Custer	Deaths	33
2006	Custer	Group Quarters Population (July)	16
2006	Custer	Household Population (July)	4001
2006	Custer	Housing Vacancy Rate	49.45
2006	Custer	July Population	4017
2006	Custer	Natural Population Increase	-18
2006	Custer	Net Building Permits	100
2006	Custer	Net Migration	-10
2006	Custer	Population (U.S. Census Bureau)	3863
2006	Custer	Total Households	1806
2006	Custer	Total Housing Units	3573
2006	Custer	Vacant Housing Units	1767
2006	Delta	Average Household Size	2.4
2006	Delta	Births	346
2006	Delta	Deaths	303
2006	Delta	Group Quarters Population (July)	935
2006	Delta	Household Population (July)	28767
2006	Delta	Housing Vacancy Rate	14.64
2006	Delta	July Population	29702
2006	Delta	Natural Population Increase	43
2006	Delta	Net Building Permits	113
2006	Delta	Net Migration	247
2006	Delta	Population (U.S. Census Bureau)	29899
2006	Delta	Total Households	11984
2006	Delta	Total Housing Units	14040
2006	Delta	Vacant Housing Units	2056
2006	Denver	Average Household Size	2.24
2006	Denver	Births	10134
2006	Denver	Deaths	4194
2006	Denver	Group Quarters Population (July)	13367
2006	Denver	Household Population (July)	549495
2006	Denver	Housing Vacancy Rate	11.18
2006	Denver	July Population	562862
2006	Denver	Natural Population Increase	5940
2006	Denver	Net Building Permits	3047
2006	Denver	Net Migration	-2537
2006	Denver	Population (U.S. Census Bureau)	568692
2006	Denver	Total Households	245655
2006	Denver	Total Housing Units	276569
2006	Denver	Vacant Housing Units	30914
2006	Dolores	Average Household Size	2.31
2006	Dolores	Births	22
2006	Dolores	Deaths	20
2006	Dolores	Group Quarters Population (July)	0
2006	Dolores	Household Population (July)	1990
2006	Dolores	Housing Vacancy Rate	37.09
2006	Dolores	July Population	1990
2006	Dolores	Natural Population Increase	2
2006	Dolores	Net Building Permits	6
2006	Dolores	Net Migration	100
2006	Dolores	Population (U.S. Census Bureau)	1892
2006	Dolores	Total Households	860
2006	Dolores	Total Housing Units	1367
2006	Dolores	Vacant Housing Units	507
2006	Douglas	Average Household Size	2.82
2006	Douglas	Births	4112
2006	Douglas	Deaths	654
2006	Douglas	Group Quarters Population (July)	720
2006	Douglas	Household Population (July)	257113
2006	Douglas	Housing Vacancy Rate	7.02
2006	Douglas	July Population	257833
2006	Douglas	Natural Population Increase	3458
2006	Douglas	Net Building Permits	5378
2006	Douglas	Net Migration	9933
2006	Douglas	Population (U.S. Census Bureau)	259881
2006	Douglas	Total Households	91172
2006	Douglas	Total Housing Units	98058
2006	Douglas	Vacant Housing Units	6886
2006	Eagle	Average Household Size	2.74
2006	Eagle	Births	851
2006	Eagle	Deaths	98
2006	Eagle	Group Quarters Population (July)	353
2006	Eagle	Household Population (July)	47861
2006	Eagle	Housing Vacancy Rate	41
2006	Eagle	July Population	48214
2006	Eagle	Natural Population Increase	753
2006	Eagle	Net Building Permits	745
2006	Eagle	Net Migration	183
2006	Eagle	Population (U.S. Census Bureau)	49112
2006	Eagle	Total Households	17448
2006	Eagle	Total Housing Units	29573
2006	Eagle	Vacant Housing Units	12125
2006	Elbert	Average Household Size	2.82
2006	Elbert	Births	196
2006	Elbert	Deaths	86
2006	Elbert	Group Quarters Population (July)	53
2006	Elbert	Household Population (July)	22474
2006	Elbert	Housing Vacancy Rate	6.51
2006	Elbert	July Population	22527
2006	Elbert	Natural Population Increase	110
2006	Elbert	Net Building Permits	248
2006	Elbert	Net Migration	158
2006	Elbert	Population (U.S. Census Bureau)	22648
2006	Elbert	Total Households	7979
2006	Elbert	Total Housing Units	8535
2006	Elbert	Vacant Housing Units	556
2006	El Paso	Average Household Size	2.58
2006	El Paso	Births	8624
2006	El Paso	Deaths	3430
2006	El Paso	Group Quarters Population (July)	16080
2006	El Paso	Household Population (July)	566422
2006	El Paso	Housing Vacancy Rate	10.02
2006	El Paso	July Population	582502
2006	El Paso	Natural Population Increase	5194
2006	El Paso	Net Building Permits	6529
2006	El Paso	Net Migration	7986
2006	El Paso	Population (U.S. Census Bureau)	579710
2006	El Paso	Total Households	219699
2006	El Paso	Total Housing Units	244173
2006	El Paso	Vacant Housing Units	24474
2006	Fremont	Average Household Size	2.35
2006	Fremont	Births	439
2006	Fremont	Deaths	483
2006	Fremont	Group Quarters Population (July)	9219
2006	Fremont	Household Population (July)	37484
2006	Fremont	Housing Vacancy Rate	13.42
2006	Fremont	July Population	46703
2006	Fremont	Natural Population Increase	-44
2006	Fremont	Net Building Permits	262
2006	Fremont	Net Migration	300
2006	Fremont	Population (U.S. Census Bureau)	47203
2006	Fremont	Total Households	15969
2006	Fremont	Total Housing Units	18444
2006	Fremont	Vacant Housing Units	2475
2006	Garfield	Average Household Size	2.7
2006	Garfield	Births	893
2006	Garfield	Deaths	274
2006	Garfield	Group Quarters Population (July)	852
2006	Garfield	Household Population (July)	50254
2006	Garfield	Housing Vacancy Rate	12.19
2006	Garfield	July Population	51106
2006	Garfield	Natural Population Increase	619
2006	Garfield	Net Building Permits	569
2006	Garfield	Net Migration	1231
2006	Garfield	Population (U.S. Census Bureau)	51111
2006	Garfield	Total Households	18643
2006	Garfield	Total Housing Units	21230
2006	Garfield	Vacant Housing Units	2587
2006	Gilpin	Average Household Size	2.24
2006	Gilpin	Births	73
2006	Gilpin	Deaths	28
2006	Gilpin	Group Quarters Population (July)	45
2006	Gilpin	Household Population (July)	4908
2006	Gilpin	Housing Vacancy Rate	35.61
2006	Gilpin	July Population	4953
2006	Gilpin	Natural Population Increase	45
2006	Gilpin	Net Building Permits	83
2006	Gilpin	Net Migration	16
2006	Gilpin	Population (U.S. Census Bureau)	5034
2006	Gilpin	Total Households	2190
2006	Gilpin	Total Housing Units	3401
2006	Gilpin	Vacant Housing Units	1211
2006	Grand	Average Household Size	2.31
2006	Grand	Births	139
2006	Grand	Deaths	59
2006	Grand	Group Quarters Population (July)	393
2006	Grand	Household Population (July)	13742
2006	Grand	Housing Vacancy Rate	59.16
2006	Grand	July Population	14135
2006	Grand	Natural Population Increase	80
2006	Grand	Net Building Permits	606
2006	Grand	Net Migration	158
2006	Grand	Population (U.S. Census Bureau)	13373
2006	Grand	Total Households	5939
2006	Grand	Total Housing Units	14541
2006	Grand	Vacant Housing Units	8602
2006	Gunnison	Average Household Size	2.25
2006	Gunnison	Births	158
2006	Gunnison	Deaths	51
2006	Gunnison	Group Quarters Population (July)	841
2006	Gunnison	Household Population (July)	13809
2006	Gunnison	Housing Vacancy Rate	42.88
2006	Gunnison	July Population	14650
2006	Gunnison	Natural Population Increase	107
2006	Gunnison	Net Building Permits	262
2006	Gunnison	Net Migration	70
2006	Gunnison	Population (U.S. Census Bureau)	14656
2006	Gunnison	Total Households	6134
2006	Gunnison	Total Housing Units	10738
2006	Gunnison	Vacant Housing Units	4604
2006	Hinsdale	Average Household Size	2.18
2006	Hinsdale	Births	7
2006	Hinsdale	Deaths	5
2006	Hinsdale	Group Quarters Population (July)	0
2006	Hinsdale	Household Population (July)	830
2006	Hinsdale	Housing Vacancy Rate	71.98
2006	Hinsdale	July Population	830
2006	Hinsdale	Natural Population Increase	2
2006	Hinsdale	Net Building Permits	17
2006	Hinsdale	Net Migration	15
2006	Hinsdale	Population (U.S. Census Bureau)	816
2006	Hinsdale	Total Households	380
2006	Hinsdale	Total Housing Units	1356
2006	Hinsdale	Vacant Housing Units	976
2006	Huerfano	Average Household Size	2.15
2006	Huerfano	Births	58
2006	Huerfano	Deaths	92
2006	Huerfano	Group Quarters Population (July)	1173
2006	Huerfano	Household Population (July)	6577
2006	Huerfano	Housing Vacancy Rate	38.15
2006	Huerfano	July Population	7750
2006	Huerfano	Natural Population Increase	-34
2006	Huerfano	Net Building Permits	38
2006	Huerfano	Net Migration	-39
2006	Huerfano	Population (U.S. Census Bureau)	7774
2006	Huerfano	Total Households	3059
2006	Huerfano	Total Housing Units	4946
2006	Huerfano	Vacant Housing Units	1887
2006	Jackson	Average Household Size	2.23
2006	Jackson	Births	15
2006	Jackson	Deaths	12
2006	Jackson	Group Quarters Population (July)	10
2006	Jackson	Household Population (July)	1433
2006	Jackson	Housing Vacancy Rate	48.48
2006	Jackson	July Population	1443
2006	Jackson	Natural Population Increase	3
2006	Jackson	Net Building Permits	13
2006	Jackson	Net Migration	-52
2006	Jackson	Population (U.S. Census Bureau)	1383
2006	Jackson	Total Households	642
2006	Jackson	Total Housing Units	1246
2006	Jackson	Vacant Housing Units	604
2006	Jefferson	Average Household Size	2.46
2006	Jefferson	Births	6138
2006	Jefferson	Deaths	3462
2006	Jefferson	Group Quarters Population (July)	7767
2006	Jefferson	Household Population (July)	516812
2006	Jefferson	Housing Vacancy Rate	7.08
2006	Jefferson	July Population	524579
2006	Jefferson	Natural Population Increase	2676
2006	Jefferson	Net Building Permits	2151
2006	Jefferson	Net Migration	-1614
2006	Jefferson	Population (U.S. Census Bureau)	524507
2006	Jefferson	Total Households	210389
2006	Jefferson	Total Housing Units	226430
2006	Jefferson	Vacant Housing Units	16041
2006	Kiowa	Average Household Size	2.29
2006	Kiowa	Births	7
2006	Kiowa	Deaths	18
2006	Kiowa	Group Quarters Population (July)	11
2006	Kiowa	Household Population (July)	1503
2006	Kiowa	Housing Vacancy Rate	18.43
2006	Kiowa	July Population	1514
2006	Kiowa	Natural Population Increase	-11
2006	Kiowa	Net Building Permits	1
2006	Kiowa	Net Migration	-18
2006	Kiowa	Population (U.S. Census Bureau)	1360
2006	Kiowa	Total Households	655
2006	Kiowa	Total Housing Units	803
2006	Kiowa	Vacant Housing Units	148
2006	Kit Carson	Average Household Size	2.42
2006	Kit Carson	Births	98
2006	Kit Carson	Deaths	92
2006	Kit Carson	Group Quarters Population (July)	1035
2006	Kit Carson	Household Population (July)	6911
2006	Kit Carson	Housing Vacancy Rate	18.7
2006	Kit Carson	July Population	7946
2006	Kit Carson	Natural Population Increase	6
2006	Kit Carson	Net Building Permits	11
2006	Kit Carson	Net Migration	-58
2006	Kit Carson	Population (U.S. Census Bureau)	7948
2006	Kit Carson	Total Households	2861
2006	Kit Carson	Total Housing Units	3519
2006	Kit Carson	Vacant Housing Units	658
2006	Lake	Average Household Size	2.56
2006	Lake	Births	112
2006	Lake	Deaths	28
2006	Lake	Group Quarters Population (July)	99
2006	Lake	Household Population (July)	7118
2006	Lake	Housing Vacancy Rate	34.55
2006	Lake	July Population	7217
2006	Lake	Natural Population Increase	84
2006	Lake	Net Building Permits	55
2006	Lake	Net Migration	-151
2006	Lake	Population (U.S. Census Bureau)	7666
2006	Lake	Total Households	2777
2006	Lake	Total Housing Units	4243
2006	Lake	Vacant Housing Units	1466
2006	La Plata	Average Household Size	2.4
2006	La Plata	Births	564
2006	La Plata	Deaths	302
2006	La Plata	Group Quarters Population (July)	1832
2006	La Plata	Household Population (July)	46576
2006	La Plata	Housing Vacancy Rate	20.99
2006	La Plata	July Population	48408
2006	La Plata	Natural Population Increase	262
2006	La Plata	Net Building Permits	873
2006	La Plata	Net Migration	433
2006	La Plata	Population (U.S. Census Bureau)	48834
2006	La Plata	Total Households	19423
2006	La Plata	Total Housing Units	24583
